Optimal - objective value 600.00000000
      0 x[1,1]                 5                       0
      1 x[1,2]                 5                       0
      2 x[2,1]                 0                       0
      3 x[2,2]                10                       0
      4 y[1]                   1                      90
      5 y[2]                   1                      30
      6 y[3]                   3                      10
      7 y[4]                   0                      30
      8 y[5]                   2                      10
      9 y[6]                   2                      10
     10 y[7]                   1                      35
     11 y[8]                   1                      40
     12 y[9]                   0                      50
     13 y[10]                  3                      15
     14 y[11]                  1                      10
     15 y[12]                  0                      30
     16 y[13]                  3                      25
     17 y[14]                  1                      45
     18 y[15]                  1                      90
     19 y[16]                  2                      35
